ID;Ex01;Am01;Re01;Ne01;Ap01;Ex02;Am02;Re02;Ne02;Ap02;Ex03;Am03;Re03;Ne03;Ap03;Ex04;Am04;Re04;Ne04;Ap04;Ex05;Am05;Re05;Ne05;Ap05;Ex06;Am06;Re06;Ne06;Ap06;Ex07;Am07;Re07;Ne07;Ap07;Ex08;Am08;Re08;Ne08;Ap08;Ex09;Am09;Re09;Ne09;Ap09;Ex10;Am10;Re10;Ne10;Ap10;RSES01;RSES02;RSES03;RSES04;RSES05;RSES06;RSES07;RSES08;RSES09;RSES10
778;3;5;4;2;4;4;5;5;2;1;4;5;3;2;3;3;4;5;1;1;4;5;3;2;3;5;2;4;1;4;3;5;5;1;4;3;5;5;1;1;4;4;3;3;4;3;4;2;1;3;7;7;7;7;7;7;7;7;7;7
779;4;5;3;1;4;5;5;5;1;3;4;5;4;3;4;4;4;5;1;3;3;3;4;2;4;5;4;5;1;5;4;5;5;2;4;2;5;5;1;2;2;4;2;1;4;3;5;4;1;4;6;6;7;5;7;6;7;6;7;7
780;4;4;4;2;4;4;4;4;3;2;4;3;4;4;3;4;4;4;2;2;4;4;3;3;3;4;3;3;2;3;4;4;4;3;4;4;3;4;2;3;4;3;3;2;4;4;3;4;2;3;5;5;6;5;6;5;5;6;6;6
781;3;4;4;2;5;4;4;4;3;5;4;5;3;3;5;4;4;5;3;5;4;4;3;2;4;4;3;4;2;5;4;4;4;3;5;3;4;4;2;4;4;4;4;2;4;4;5;5;3;5;6;6;4;6;3;5;5;4;5;6
782;4;4;3;2;4;4;5;3;2;4;4;5;4;3;2;4;4;4;1;4;5;5;3;2;3;4;3;2;1;4;5;5;3;3;4;4;4;5;3;2;4;4;3;3;4;5;4;2;1;4;7;7;7;6;7;6;6;7;7;7
783;3;5;3;2;4;4;5;4;3;2;4;4;4;4;4;2;4;5;4;3;2;4;2;4;4;3;4;3;2;3;2;4;4;3;3;4;4;3;2;2;4;4;3;2;3;2;4;4;2;4;6;6;6;5;7;6;5;6;7;7
784;4;5;4;4;3;2;4;4;2;3;5;5;4;4;3;2;4;5;2;3;3;5;4;4;2;3;4;3;4;2;4;5;5;3;3;2;4;5;1;1;2;4;3;2;4;2;4;4;2;3;3;5;3;4;6;3;4;2;2;2
785;4;3;3;4;3;3;4;3;4;3;3;3;4;4;4;3;5;3;4;3;3;3;3;4;4;3;4;3;3;3;3;3;4;4;4;2;3;3;4;3;4;3;3;3;3;3;4;3;4;3;4;4;3;4;5;4;4;4;4;4
786;2;4;2;4;3;4;4;4;2;2;4;5;4;4;3;2;4;4;4;2;4;5;2;3;4;4;4;5;4;4;4;4;5;4;3;2;4;4;4;2;3;4;2;4;4;4;4;2;3;3;4;5;4;4;6;4;5;3;3;5
787;4;4;2;1;4;3;4;3;2;5;4;5;3;3;4;3;3;4;2;5;3;4;1;2;4;5;2;3;1;4;4;4;2;2;5;3;3;2;2;4;4;3;3;2;4;2;3;3;2;4;6;7;6;6;5;6;6;7;6;6
788;4;4;3;1;4;4;5;5;1;3;5;5;5;4;3;4;5;4;2;3;3;2;2;1;4;5;3;5;1;5;3;5;3;1;4;3;4;4;1;3;4;4;3;1;1;3;3;2;1;3;6;6;7;7;6;4;7;3;7;7
789;4;4;4;4;3;3;4;3;3;3;3;4;4;4;4;4;4;4;2;2;3;4;4;4;4;4;5;3;2;2;2;4;3;3;4;3;3;4;3;2;4;4;5;4;2;2;4;5;2;4;6;7;7;6;7;5;6;2;6;7
790;4;4;4;3;2;3;4;4;2;3;2;5;3;3;4;2;4;4;2;3;3;4;3;2;4;3;3;2;2;3;2;3;4;2;4;2;4;4;2;2;1;3;3;1;4;3;4;5;2;4;6;6;6;6;7;5;5;3;6;7
791;4;5;3;4;4;3;4;3;4;3;2;4;4;3;4;2;5;3;2;3;2;5;2;3;3;3;4;3;3;5;2;5;2;5;4;2;4;4;5;3;2;5;2;3;4;1;4;2;2;3;3;5;5;3;5;2;3;1;2;2
792;4;4;4;2;3;2;4;5;3;4;4;4;4;4;3;3;4;5;3;4;3;4;4;4;3;3;3;4;2;4;3;4;5;3;4;3;4;5;3;4;3;4;4;3;5;3;4;4;2;3;7;6;6;6;7;5;5;5;6;6
793;4;2;4;4;5;3;4;3;3;4;5;3;4;3;3;3;4;4;1;5;4;5;3;3;4;4;4;4;3;5;4;4;4;3;4;2;4;5;2;4;2;4;4;3;4;3;4;5;1;3;7;7;6;7;3;6;6;5;7;7
794;3;4;3;1;5;4;4;2;1;5;4;2;4;3;5;4;4;4;2;3;4;4;4;2;3;4;4;2;2;5;4;4;2;1;5;4;4;5;1;2;4;4;3;1;3;4;4;4;1;4;7;7;7;7;7;7;7;7;7;7
795;3;4;3;4;3;4;4;3;2;2;4;4;4;4;3;3;4;4;2;4;4;4;4;4;3;3;4;3;4;3;4;4;4;4;3;2;4;4;4;3;2;4;4;4;3;2;4;4;2;3;5;6;6;5;6;6;6;3;6;6
796;4;4;4;4;5;4;4;5;3;5;3;4;5;4;4;3;4;5;1;4;4;4;5;4;3;4;4;5;4;4;3;2;5;4;5;1;4;3;3;4;2;4;5;4;5;2;4;4;2;4;4;6;7;7;7;6;6;6;6;7
797;5;4;4;2;4;4;5;3;2;3;5;4;4;2;2;4;4;4;2;3;4;4;2;3;3;3;2;4;2;4;4;4;4;3;4;4;4;4;2;2;4;4;4;2;4;4;4;3;2;4;6;6;6;6;6;6;6;6;6;6
798;4;5;4;2;5;4;4;4;2;2;5;4;4;2;4;4;4;4;2;2;4;4;4;2;4;4;3;4;2;4;4;4;4;2;4;4;4;4;2;4;4;3;3;3;4;4;4;4;2;4;6;6;7;6;6;6;6;6;6;6
799;3;4;4;4;3;3;3;5;2;2;2;4;4;3;4;2;3;5;2;3;3;3;4;2;4;2;2;5;2;4;2;3;5;2;4;2;4;4;2;2;2;3;5;4;4;1;3;4;2;4;5;6;3;5;5;5;5;3;5;6
800;5;4;3;1;4;4;4;4;1;5;4;4;3;3;5;4;4;4;2;4;3;5;4;2;4;4;2;4;1;2;4;4;4;2;4;3;4;4;2;2;3;3;3;1;4;4;4;3;1;5;7;6;7;5;7;7;6;7;6;7
801;3;4;5;1;3;4;4;5;1;3;4;5;4;1;1;4;4;5;1;4;4;5;5;1;3;4;1;5;1;5;3;4;5;1;4;2;3;5;1;1;3;3;4;2;4;4;4;4;1;1;5;5;7;5;7;5;5;7;7;7
802;3;4;3;2;4;4;4;4;2;4;4;5;4;4;4;3;4;5;2;4;4;4;4;4;4;4;4;4;2;4;3;4;4;2;4;2;4;4;2;3;2;4;4;3;4;4;4;4;2;4;7;7;7;6;7;6;6;7;6;7
803;3;5;4;3;5;5;5;5;2;4;5;5;5;4;4;2;4;5;1;3;4;5;4;3;3;4;2;5;2;5;3;5;4;1;4;2;4;5;1;3;4;4;5;2;4;3;4;5;2;4;7;7;7;6;7;7;6;7;6;7
804;4;4;4;2;4;2;4;4;2;4;4;5;4;4;4;4;4;4;2;3;4;4;4;2;4;4;4;4;2;4;4;4;4;2;4;2;4;5;2;3;4;4;4;3;4;4;4;4;2;3;6;5;6;6;2;6;5;3;6;7
805;4;4;2;2;3;4;3;5;2;4;4;3;3;4;3;4;3;4;2;4;4;4;3;3;4;4;4;4;2;4;4;4;3;2;4;4;3;4;1;2;4;4;4;2;2;4;4;4;2;4;6;6;6;4;6;6;6;6;6;6
806;4;2;4;3;3;3;4;2;2;2;4;2;4;4;4;2;4;3;3;3;3;2;4;4;4;2;4;2;3;3;4;3;4;4;4;2;4;2;3;4;3;3;3;4;4;2;4;3;3;4;5;5;4;4;4;4;4;3;3;4
807;4;4;4;2;4;4;4;5;2;4;4;5;4;3;1;4;3;5;2;4;3;3;4;2;4;5;4;5;1;5;4;5;4;1;4;4;4;5;1;3;3;3;4;1;3;3;4;4;1;3;7;6;7;6;7;6;6;7;7;7
808;3;4;3;4;3;4;3;4;3;2;4;4;3;4;4;3;4;4;3;2;4;3;3;3;3;4;4;4;3;2;4;3;4;2;3;2;4;4;2;2;2;4;2;2;3;3;4;3;3;2;5;5;5;4;6;6;5;5;5;7
809;4;4;4;1;4;4;5;4;1;4;5;5;4;4;4;4;4;4;4;4;4;4;3;2;5;4;4;3;2;5;4;5;4;2;4;4;4;5;1;3;5;4;4;3;4;3;5;4;1;5;7;7;7;7;7;7;7;7;7;7
810;3;5;4;2;4;4;4;5;3;4;4;4;4;3;4;3;4;5;4;3;3;5;3;3;4;5;1;5;1;5;4;5;4;3;4;3;4;5;2;3;4;4;5;2;4;5;4;4;1;5;6;6;7;6;7;6;6;6;7;7
811;4;3;4;1;5;3;4;5;3;5;4;5;4;4;4;3;3;5;2;2;3;3;3;2;3;5;5;5;1;3;4;3;5;1;4;3;4;5;1;3;4;4;4;1;4;3;4;4;1;5;4;7;7;6;7;7;6;7;7;7
812;3;4;3;3;2;3;4;4;2;4;4;5;5;4;4;3;3;5;3;3;4;4;2;4;4;4;3;4;3;4;4;4;4;3;4;3;3;4;3;3;4;3;4;4;5;2;3;4;3;4;7;7;7;6;7;7;7;4;5;6
813;3;2;4;3;4;3;4;4;2;4;3;4;4;4;4;3;4;4;2;4;3;3;4;3;3;4;2;4;3;4;3;4;4;2;4;3;3;4;1;3;3;4;4;3;4;4;4;3;2;3;7;7;7;7;7;7;7;7;7;7
814;3;4;3;2;3;3;4;4;2;4;3;5;3;3;3;2;4;4;3;3;3;4;3;3;3;4;3;4;2;4;3;4;4;2;3;3;4;4;1;3;3;4;2;2;3;3;3;3;2;2;6;5;7;6;7;6;6;7;7;7
815;3;5;3;3;3;3;3;3;3;3;5;5;5;5;3;3;5;3;3;3;5;3;3;5;5;3;5;5;4;4;5;4;5;3;3;2;4;5;3;1;3;5;4;3;2;4;5;5;3;3;7;7;4;4;4;4;4;4;4;4
816;4;4;4;1;4;5;4;5;2;3;4;4;4;1;4;5;4;5;2;3;4;4;4;1;5;4;1;4;1;5;3;4;4;2;4;2;4;5;1;3;4;4;4;2;4;5;4;5;1;5;6;6;7;6;7;6;7;7;7;7
817;3;2;4;2;4;3;2;4;1;4;4;3;5;3;4;3;3;5;3;3;3;4;3;2;5;3;2;4;4;5;4;2;4;2;5;2;3;4;2;4;3;3;2;2;3;1;3;4;2;4;4;5;4;5;5;4;3;4;4;5
